Rocket data from 2021-05-08 19:47:48.604872
Nr, posX, posY, centerX, centerY, velX, velY, thrustX, thrustY, rot, engine, targetX, targetY
0,x: 569.4240808756025, y: 75.47993424697131,x: 604.4240808756025, y: 125.47993424697131,x: 0, y: 0.02,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
1,x: 569.4240808756025, y: 75.54993424697132,x: 604.4240808756025, y: 125.54993424697132,x: 0, y: 0.04,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
2,x: 569.4240808756025, y: 75.65993424697132,x: 604.4240808756025, y: 125.65993424697132,x: 0, y: 0.060000000000000005,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
3,x: 569.4240808756025, y: 75.80993424697131,x: 604.4240808756025, y: 125.80993424697131,x: 0, y: 0.08,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
4,x: 569.4240808756025, y: 75.9999342469713,x: 604.4240808756025, y: 125.9999342469713,x: 0, y: 0.09999999999999999,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
5,x: 569.4240808756025, y: 76.22993424697131,x: 604.4240808756025, y: 126.22993424697131,x: 0, y: 0.11999999999999998,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
6,x: 569.4240808756025, y: 76.4999342469713,x: 604.4240808756025, y: 126.4999342469713,x: 0, y: 0.13999999999999999,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
7,x: 569.4240808756025, y: 76.80993424697131,x: 604.4240808756025, y: 126.80993424697131,x: 0, y: 0.16,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
8,x: 569.4240808756025, y: 77.15993424697132,x: 604.4240808756025, y: 127.15993424697132,x: 0, y: 0.18000000000000002,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
9,x: 569.4240808756025, y: 77.54993424697132,x: 604.4240808756025, y: 127.54993424697132,x: 0, y: 0.20000000000000004,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
10,x: 569.4240808756025, y: 77.97993424697131,x: 604.4240808756025, y: 127.97993424697131,x: 0, y: 0.22000000000000006,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
11,x: 569.4240808756025, y: 78.44993424697131,x: 604.4240808756025, y: 128.4499342469713,x: 0, y: 0.24000000000000007,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
12,x: 569.4240808756025, y: 78.95993424697132,x: 604.4240808756025, y: 128.95993424697133,x: 0, y: 0.26000000000000006,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
13,x: 569.4240808756025, y: 79.50993424697131,x: 604.4240808756025, y: 129.5099342469713,x: 0, y: 0.2800000000000001,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
14,x: 569.4240808756025, y: 80.09993424697132,x: 604.4240808756025, y: 130.09993424697132,x: 0, y: 0.3000000000000001,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
15,x: 569.4240808756025, y: 80.72993424697131,x: 604.4240808756025, y: 130.7299342469713,x: 0, y: 0.3200000000000001,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
16,x: 569.4240808756025, y: 81.39993424697131,x: 604.4240808756025, y: 131.39993424697133,x: 0, y: 0.34000000000000014,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
17,x: 569.4240808756025, y: 82.1099342469713,x: 604.4240808756025, y: 132.1099342469713,x: 0, y: 0.36000000000000015,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
18,x: 569.4240808756025, y: 82.8599342469713,x: 604.4240808756025, y: 132.8599342469713,x: 0, y: 0.38000000000000017,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
19,x: 569.4240808756025, y: 83.64993424697131,x: 604.4240808756025, y: 133.64993424697133,x: 0, y: 0.4000000000000002,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
20,x: 569.4240808756025, y: 84.47993424697131,x: 604.4240808756025, y: 134.4799342469713,x: 0, y: 0.4200000000000002,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
21,x: 569.4240808756025, y: 85.34993424697132,x: 604.4240808756025, y: 135.34993424697132,x: 0, y: 0.4400000000000002,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
22,x: 569.4240808756025, y: 86.25993424697131,x: 604.4240808756025, y: 136.2599342469713,x: 0, y: 0.46000000000000024,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
23,x: 569.4240808756025, y: 87.20993424697132,x: 604.4240808756025, y: 137.20993424697133,x: 0, y: 0.48000000000000026,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
24,x: 569.4240808756025, y: 88.19993424697131,x: 604.4240808756025, y: 138.1999342469713,x: 0, y: 0.5000000000000002,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
25,x: 569.4240808756025, y: 89.22993424697131,x: 604.4240808756025, y: 139.2299342469713,x: 0, y: 0.5200000000000002,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
26,x: 569.4240808756025, y: 90.29993424697132,x: 604.4240808756025, y: 140.2999342469713,x: 0, y: 0.5400000000000003,x: 0, y: 0,0,False,x: 26.412135809039196, y: 20
